product_id		attribute_id		attribute_value
1245722001		shop_the_look_0		1204130004;;1244374002;;1232468003
1245722001		shop_the_look_1		1230603001;;1240595001;;1250113002
1244575001		shop_the_look_0		1243116001;;1096936001;;1243089001
1244575001		shop_the_look_1		1230589001;;1233583001;;1240595001
1241507002		shop_the_look_0		0252867004;;1011037002;;1200470001
1241507002		shop_the_look_1		1241508002;;1258754001;;1244397001
1241507002		shop_the_look_2		1256319001;;1230602001;;1230606001
1252598002		shop_the_look_0		1189095004;;1188205003;;1206687004
1252598002		shop_the_look_1		1271847001;;1248145001;;1230597001
1242801001		shop_the_look_0		1248922001;;1251659001;;1243816001
1242801001		shop_the_look_1		1271847001;;1218892001;;1243591002
1147848013		shop_the_look_0		1252421001;;1241132001;;1171192001
1147848013		shop_the_look_1		1275617001;;1233075001;;1227704003
0969585023		shop_the_look_0		1261053001;;0960679001;;1252707001
0969585023		shop_the_look_1		1248999003;;1246551005;;1234962002
0969585023		shop_the_look_2		1240595001;;1224988001;;1230603001
1271757001		shop_the_look_0		1271742001;;1253618001;;1243953001
1271757001		shop_the_look_1		1275616001;;1218892001;;1238878001
1032425027		shop_the_look_0		1261726001;;1094272001;;1242831001
1032425027		shop_the_look_1		1247098001;;1195882001;;1230597001
1238878001		shop_the_look_0		1241622002;;1242801001;;1232837002
1238878001		shop_the_look_1		1244042001;;1208324004;;1271736001
1250113002		shop_the_look_0		1282712001;;1251542001;;1271469002
1214494003		shop_the_look_0		1094272001;;1248999001;;1258151003
1214494003		shop_the_look_1		1224988001;;1247098001;;1249821001
1251463001		shop_the_look_0		1230602001;;1256319001;;1195882001
1254296001		shop_the_look_0		1230597001;;1214832001;;1240595001
1242892001		shop_the_look_0		1271457001;;1253079001;;1211695001
1242892001		shop_the_look_1		1256319001;;1240754001;;1230606001
1094272001		shop_the_look_0		1241269001;;1234980001;;1242335001
1094272001		shop_the_look_1		1240595001;;1247098001;;1194860001
0916460032		shop_the_look_0		1237956001;;1200470004;;0960679001
0916460032		shop_the_look_1		1242174001;;1246547001;;1271457001
0916460032		shop_the_look_2		1240595001;;1224988001;;1230595001
1187052014		shop_the_look_0		1252327001;;1231801001;;1242782002
1187052014		shop_the_look_1		1230578001;;1230595001;;1255205001
1271485001		shop_the_look_0		1271457001;;1219193003;;1241198001
1271485001		shop_the_look_1		1275614001;;1214832001;;1244387001
1236533001		shop_the_look_0		1232805001;;1238795002;;1235216001
1236533001		shop_the_look_1		1242915001;;1209441001;;1246532001
1236533001		shop_the_look_2		1230603001;;1240595001;;1230597001
1241650001		shop_the_look_0		1242783001;;1242781001;;1242318001
1241650001		shop_the_look_1		1215461001;;1249182001;;1243953001
1241650001		shop_the_look_2		1233583001;;1240595001;;1218892001
1219190002		shop_the_look_0		1244429001;;1241678002;;1249132001
1219190002		shop_the_look_1		1259494001;;1250903001;;1255047001
